geo,country,year,share_65plus
AT,Austria,2011,17.6
AT,Austria,2012,17.8
AT,Austria,2013,18.1
AT,Austria,2014,18.3
AT,Austria,2015,18.5
AT,Austria,2016,18.4
AT,Austria,2017,18.5
AT,Austria,2018,18.7
AT,Austria,2019,18.8
AT,Austria,2020,19.0
AT,Austria,2021,19.2
AT,Austria,2022,19.4
AT,Austria,2023,19.6
AT,Austria,2024,19.8
AT,Austria,2025,20.2
AZ,Azerbaijan,2006,7.1
AZ,Azerbaijan,2007,7.1
AZ,Azerbaijan,2008,7.0
AZ,Azerbaijan,2009,6.8
AZ,Azerbaijan,2010,5.9
AZ,Azerbaijan,2011,5.8
AZ,Azerbaijan,2012,5.8
AZ,Azerbaijan,2013,5.8
AZ,Azerbaijan,2014,5.8
AZ,Azerbaijan,2015,6.0
AZ,Azerbaijan,2016,6.2
AZ,Azerbaijan,2017,6.3
AZ,Azerbaijan,2018,6.5
AZ,Azerbaijan,2019,6.8
AZ,Azerbaijan,2020,7.2
AZ,Azerbaijan,2021,7.5
AZ,Azerbaijan,2022,7.9
AZ,Azerbaijan,2023,8.5
AZ,Azerbaijan,2024,9.1
AZ,Azerbaijan,2025,9.9
BE,Belgium,1960,12.0
BE,Belgium,1961,12.0
BE,Belgium,1962,12.2
BE,Belgium,1963,12.4
BE,Belgium,1964,12.4
BE,Belgium,1965,12.6
BE,Belgium,1966,12.7
BE,Belgium,1967,12.9
BE,Belgium,1968,13.1
BE,Belgium,1969,13.2
BE,Belgium,1970,13.3
BE,Belgium,1971,13.4
BE,Belgium,1972,13.5
BE,Belgium,1973,13.7
BE,Belgium,1974,13.8
BE,Belgium,1975,13.9
BE,Belgium,1976,14.0
BE,Belgium,1977,14.0
BE,Belgium,1978,14.1
BE,Belgium,1979,14.2
BE,Belgium,1980,14.3
BE,Belgium,1981,14.2
BE,Belgium,1982,14.2
BE,Belgium,1983,14.0
BE,Belgium,1984,13.7
BE,Belgium,1985,13.7
BE,Belgium,1986,14.0
BE,Belgium,1987,14.2
BE,Belgium,1988,14.4
BE,Belgium,1989,14.6
BE,Belgium,1990,14.8
BE,Belgium,1991,15.0
BE,Belgium,1992,15.2
BE,Belgium,1993,15.4
BE,Belgium,1994,15.6
BE,Belgium,1995,15.8
BE,Belgium,1996,16.0
BE,Belgium,1997,16.3
BE,Belgium,1998,16.5
BE,Belgium,1999,16.6
BE,Belgium,2000,16.8
BE,Belgium,2001,16.9
BE,Belgium,2002,16.9
BE,Belgium,2003,17.0
BE,Belgium,2004,17.1
BE,Belgium,2005,17.2
BE,Belgium,2006,17.2
BE,Belgium,2007,17.1
BE,Belgium,2008,17.1
BE,Belgium,2009,17.1
BE,Belgium,2010,17.2
BE,Belgium,2011,17.1
BE,Belgium,2012,17.4
BE,Belgium,2013,17.6
BE,Belgium,2014,17.8
BE,Belgium,2015,18.1
BE,Belgium,2016,18.2
BE,Belgium,2017,18.5
BE,Belgium,2018,18.7
BE,Belgium,2019,18.9
BE,Belgium,2020,19.1
BE,Belgium,2021,19.3
BE,Belgium,2022,19.5
BE,Belgium,2023,19.7
BE,Belgium,2024,19.9
BE,Belgium,2025,20.2
BG,Bulgaria,1960,7.4
BG,Bulgaria,1961,7.6
BG,Bulgaria,1962,7.8
BG,Bulgaria,1963,7.9
BG,Bulgaria,1964,8.1
BG,Bulgaria,1965,8.2
BG,Bulgaria,1966,8.5
BG,Bulgaria,1967,8.8
BG,Bulgaria,1968,9.0
BG,Bulgaria,1969,9.2
BG,Bulgaria,1970,9.4
BG,Bulgaria,1971,9.7
BG,Bulgaria,1972,10.0
BG,Bulgaria,1973,10.2
BG,Bulgaria,1974,10.5
BG,Bulgaria,1975,10.7
BG,Bulgaria,1976,11.0
BG,Bulgaria,1977,11.2
BG,Bulgaria,1978,11.5
BG,Bulgaria,1979,11.4
BG,Bulgaria,1980,11.8
BG,Bulgaria,1981,12.0
BG,Bulgaria,1982,11.7
BG,Bulgaria,1983,11.4
BG,Bulgaria,1984,11.1
BG,Bulgaria,1985,11.3
BG,Bulgaria,1986,11.5
BG,Bulgaria,1987,11.8
BG,Bulgaria,1988,12.1
BG,Bulgaria,1989,12.4
BG,Bulgaria,1990,13.0
BG,Bulgaria,1991,13.4
BG,Bulgaria,1992,13.8
BG,Bulgaria,1993,14.2
BG,Bulgaria,1994,14.6
BG,Bulgaria,1995,14.9
BG,Bulgaria,1996,15.2
BG,Bulgaria,1997,15.3
BG,Bulgaria,1998,15.6
BG,Bulgaria,1999,15.9
BG,Bulgaria,2000,16.2
BG,Bulgaria,2001,16.3
BG,Bulgaria,2002,17.0
BG,Bulgaria,2003,17.1
BG,Bulgaria,2004,17.3
BG,Bulgaria,2005,17.4
BG,Bulgaria,2006,17.5
BG,Bulgaria,2007,17.6
BG,Bulgaria,2008,17.8
BG,Bulgaria,2009,18.0
BG,Bulgaria,2010,18.2
BG,Bulgaria,2011,18.5
BG,Bulgaria,2012,18.8
BG,Bulgaria,2013,19.4
BG,Bulgaria,2014,19.9
BG,Bulgaria,2015,20.5
BG,Bulgaria,2016,21.1
BG,Bulgaria,2017,21.6
BG,Bulgaria,2018,22.0
BG,Bulgaria,2019,22.5
BG,Bulgaria,2020,22.9
BG,Bulgaria,2021,23.0
BG,Bulgaria,2022,23.4
BG,Bulgaria,2023,23.5
BG,Bulgaria,2024,23.8
BG,Bulgaria,2025,24.0
BY,Belarus,2006,14.6
BY,Belarus,2007,14.6
BY,Belarus,2008,14.5
BY,Belarus,2009,14.1
BY,Belarus,2011,13.8
BY,Belarus,2012,13.7
BY,Belarus,2013,13.8
BY,Belarus,2014,13.9
BY,Belarus,2015,14.2
BY,Belarus,2016,14.4
BY,Belarus,2017,14.7
BY,Belarus,2018,15.0
BY,Belarus,2019,15.2
CH,Switzerland,1960,10.2
CH,Switzerland,1961,10.3
CH,Switzerland,1962,10.3
CH,Switzerland,1963,10.3
CH,Switzerland,1964,10.3
CH,Switzerland,1965,10.4
CH,Switzerland,1966,10.6
CH,Switzerland,1967,10.8
CH,Switzerland,1968,10.9
CH,Switzerland,1969,11.1
CH,Switzerland,1970,11.2
CH,Switzerland,1971,11.5
CH,Switzerland,1972,11.7
CH,Switzerland,1973,11.9
CH,Switzerland,1974,12.1
CH,Switzerland,1975,12.4
CH,Switzerland,1976,12.8
CH,Switzerland,1977,13.1
CH,Switzerland,1978,13.4
CH,Switzerland,1979,13.6
CH,Switzerland,1980,13.8
CH,Switzerland,1981,13.9
CH,Switzerland,1982,13.9
CH,Switzerland,1983,13.9
CH,Switzerland,1984,13.9
CH,Switzerland,1985,14.0
CH,Switzerland,1986,14.2
CH,Switzerland,1987,14.3
CH,Switzerland,1988,14.4
CH,Switzerland,1989,14.5
CH,Switzerland,1990,14.6
CH,Switzerland,1991,14.6
CH,Switzerland,1992,14.6
CH,Switzerland,1993,14.6
CH,Switzerland,1994,14.6
CH,Switzerland,1995,14.7
CH,Switzerland,1996,14.8
CH,Switzerland,1997,14.9
CH,Switzerland,1998,15.0
CH,Switzerland,1999,15.2
CH,Switzerland,2000,15.3
CH,Switzerland,2001,15.4
CH,Switzerland,2002,15.6
CH,Switzerland,2003,15.6
CH,Switzerland,2004,15.7
CH,Switzerland,2005,15.8
CH,Switzerland,2006,16.0
CH,Switzerland,2007,16.2
CH,Switzerland,2008,16.4
CH,Switzerland,2009,16.6
CH,Switzerland,2010,16.8
CH,Switzerland,2011,16.9
CH,Switzerland,2012,17.2
CH,Switzerland,2013,17.4
CH,Switzerland,2014,17.6
CH,Switzerland,2015,17.8
CH,Switzerland,2016,18.0
CH,Switzerland,2017,18.1
CH,Switzerland,2018,18.3
CH,Switzerland,2019,18.5
CH,Switzerland,2020,18.7
CH,Switzerland,2021,18.8
CH,Switzerland,2022,19.0
CH,Switzerland,2023,19.2
CH,Switzerland,2024,19.3
CH,Switzerland,2025,19.5
CY,Cyprus,1961,6.4
CY,Cyprus,1973,9.5
CY,Cyprus,1976,10.1
CY,Cyprus,1982,10.8
CY,Cyprus,1983,10.8
CY,Cyprus,1984,10.8
CY,Cyprus,1985,10.8
CY,Cyprus,1986,10.8
CY,Cyprus,1987,10.8
CY,Cyprus,1988,10.8
CY,Cyprus,1989,10.8
CY,Cyprus,1990,10.8
CY,Cyprus,1991,10.9
CY,Cyprus,1992,11.0
CY,Cyprus,1993,11.0
CY,Cyprus,1994,11.0
CY,Cyprus,1995,11.0
CY,Cyprus,1996,11.0
CY,Cyprus,1997,11.1
CY,Cyprus,1998,11.1
CY,Cyprus,1999,11.1
CY,Cyprus,2000,11.2
CY,Cyprus,2001,11.3
CY,Cyprus,2002,11.7
CY,Cyprus,2003,11.8
CY,Cyprus,2004,11.9
CY,Cyprus,2005,12.1
CY,Cyprus,2006,12.2
CY,Cyprus,2007,12.4
CY,Cyprus,2008,12.4
CY,Cyprus,2009,12.5
CY,Cyprus,2010,12.5
CY,Cyprus,2011,12.7
CY,Cyprus,2012,12.8
CY,Cyprus,2013,13.4
CY,Cyprus,2014,14.0
CY,Cyprus,2015,14.5
CY,Cyprus,2016,15.0
CY,Cyprus,2017,15.4
CY,Cyprus,2018,15.8
CY,Cyprus,2019,16.2
CY,Cyprus,2020,16.6
CY,Cyprus,2021,16.9
CY,Cyprus,2022,17.1
CY,Cyprus,2023,17.3
CY,Cyprus,2024,17.7
CY,Cyprus,2025,18.3
CZ,Czechia,1960,9.5
CZ,Czechia,1961,9.5
CZ,Czechia,1962,9.8
CZ,Czechia,1963,10.0
CZ,Czechia,1964,10.2
CZ,Czechia,1965,10.5
CZ,Czechia,1966,10.8
CZ,Czechia,1967,11.1
CZ,Czechia,1968,11.4
CZ,Czechia,1969,11.7
CZ,Czechia,1970,11.9
CZ,Czechia,1971,12.2
CZ,Czechia,1972,12.4
CZ,Czechia,1973,12.6
CZ,Czechia,1974,12.8
CZ,Czechia,1975,13.0
CZ,Czechia,1976,13.2
CZ,Czechia,1977,13.3
CZ,Czechia,1978,13.4
CZ,Czechia,1979,13.5
CZ,Czechia,1980,13.6
CZ,Czechia,1981,13.3
CZ,Czechia,1982,12.9
CZ,Czechia,1983,12.4
CZ,Czechia,1984,11.9
CZ,Czechia,1985,11.8
CZ,Czechia,1986,11.9
CZ,Czechia,1987,12.0
CZ,Czechia,1988,12.2
CZ,Czechia,1989,12.3
CZ,Czechia,1990,12.5
CZ,Czechia,1991,12.6
CZ,Czechia,1992,12.8
CZ,Czechia,1993,12.9
CZ,Czechia,1994,13.0
CZ,Czechia,1995,13.1
CZ,Czechia,1996,13.3
CZ,Czechia,1997,13.5
CZ,Czechia,1998,13.6
CZ,Czechia,1999,13.7
CZ,Czechia,2000,13.8
CZ,Czechia,2001,13.8
CZ,Czechia,2002,13.9
CZ,Czechia,2003,13.9
CZ,Czechia,2004,14.0
CZ,Czechia,2005,14.1
CZ,Czechia,2006,14.2
CZ,Czechia,2007,14.5
CZ,Czechia,2008,14.6
CZ,Czechia,2009,14.9
CZ,Czechia,2010,15.3
CZ,Czechia,2011,15.6
CZ,Czechia,2012,16.2
CZ,Czechia,2013,16.8
CZ,Czechia,2014,17.4
CZ,Czechia,2015,17.8
CZ,Czechia,2016,18.3
CZ,Czechia,2017,18.8
CZ,Czechia,2018,19.2
CZ,Czechia,2019,19.6
CZ,Czechia,2020,19.9
CZ,Czechia,2021,20.5
CZ,Czechia,2022,20.6
CZ,Czechia,2023,20.4
CZ,Czechia,2024,20.5
CZ,Czechia,2025,20.7
DE,Germany,1960,10.8
DE,Germany,1961,10.9
DE,Germany,1962,11.2
DE,Germany,1963,11.3
DE,Germany,1964,11.6
DE,Germany,1965,11.8
DE,Germany,1966,12.0
DE,Germany,1967,12.3
DE,Germany,1968,12.7
DE,Germany,1969,12.8
DE,Germany,1970,13.0
DE,Germany,1971,13.3
DE,Germany,1972,13.5
DE,Germany,1973,13.8
DE,Germany,1974,14.0
DE,Germany,1975,14.3
DE,Germany,1976,14.6
DE,Germany,1977,14.9
DE,Germany,1978,15.2
DE,Germany,1979,15.4
DE,Germany,1980,15.6
DE,Germany,1981,15.5
DE,Germany,1982,15.2
DE,Germany,1983,14.9
DE,Germany,1984,14.6
DE,Germany,1985,14.7
DE,Germany,1986,15.0
DE,Germany,1987,15.2
DE,Germany,1988,15.4
DE,Germany,1989,15.4
DE,Germany,1990,15.3
DE,Germany,1991,14.9
DE,Germany,1992,15.0
DE,Germany,1993,15.0
DE,Germany,1994,15.2
DE,Germany,1995,15.4
DE,Germany,1996,15.6
DE,Germany,1997,15.7
DE,Germany,1998,15.8
DE,Germany,1999,15.9
DE,Germany,2000,16.2
DE,Germany,2001,16.6
DE,Germany,2002,17.1
DE,Germany,2003,17.5
DE,Germany,2004,18.0
DE,Germany,2005,18.6
DE,Germany,2006,19.3
DE,Germany,2007,19.8
DE,Germany,2008,20.1
DE,Germany,2009,20.4
DE,Germany,2010,20.7
DE,Germany,2011,20.7
DE,Germany,2012,20.7
DE,Germany,2013,20.8
DE,Germany,2014,20.9
DE,Germany,2015,21.0
DE,Germany,2016,21.1
DE,Germany,2017,21.2
DE,Germany,2018,21.4
DE,Germany,2019,21.5
DE,Germany,2020,21.8
DE,Germany,2021,22.0
DE,Germany,2022,22.1
DE,Germany,2023,22.2
DE,Germany,2024,22.4
DE,Germany,2025,22.7
DE_TOT,Germany including former GDR,1960,11.5
DE_TOT,Germany including former GDR,1961,11.5
DE_TOT,Germany including former GDR,1962,11.9
DE_TOT,Germany including former GDR,1963,12.0
DE_TOT,Germany including former GDR,1964,12.2
DE_TOT,Germany including former GDR,1965,12.4
DE_TOT,Germany including former GDR,1966,12.6
DE_TOT,Germany including former GDR,1967,12.9
DE_TOT,Germany including former GDR,1968,13.2
DE_TOT,Germany including former GDR,1969,13.4
DE_TOT,Germany including former GDR,1970,13.5
DE_TOT,Germany including former GDR,1971,13.8
DE_TOT,Germany including former GDR,1972,14.0
DE_TOT,Germany including former GDR,1973,14.2
DE_TOT,Germany including former GDR,1974,14.4
DE_TOT,Germany including former GDR,1975,14.7
DE_TOT,Germany including former GDR,1976,15.0
DE_TOT,Germany including former GDR,1977,15.2
DE_TOT,Germany including former GDR,1978,15.4
DE_TOT,Germany including former GDR,1979,15.6
DE_TOT,Germany including former GDR,1980,15.7
DE_TOT,Germany including former GDR,1981,15.5
DE_TOT,Germany including former GDR,1982,15.2
DE_TOT,Germany including former GDR,1983,14.8
DE_TOT,Germany including former GDR,1984,14.5
DE_TOT,Germany including former GDR,1985,14.5
DE_TOT,Germany including former GDR,1986,14.7
DE_TOT,Germany including former GDR,1987,14.8
DE_TOT,Germany including former GDR,1988,15.0
DE_TOT,Germany including former GDR,1989,14.9
DE_TOT,Germany including former GDR,1990,14.9
DE_TOT,Germany including former GDR,1991,14.9
DE_TOT,Germany including former GDR,1992,15.0
DE_TOT,Germany including former GDR,1993,15.0
DE_TOT,Germany including former GDR,1994,15.2
DE_TOT,Germany including former GDR,1995,15.4
DE_TOT,Germany including former GDR,1996,15.6
DE_TOT,Germany including former GDR,1997,15.7
DE_TOT,Germany including former GDR,1998,15.8
DE_TOT,Germany including former GDR,1999,15.9
DE_TOT,Germany including former GDR,2000,16.2
DE_TOT,Germany including former GDR,2001,16.6
DE_TOT,Germany including former GDR,2002,17.1
DE_TOT,Germany including former GDR,2003,17.5
DE_TOT,Germany including former GDR,2004,18.0
DE_TOT,Germany including former GDR,2005,18.6
DE_TOT,Germany including former GDR,2006,19.3
DE_TOT,Germany including former GDR,2007,19.8
DE_TOT,Germany including former GDR,2008,20.1
DE_TOT,Germany including former GDR,2009,20.4
DE_TOT,Germany including former GDR,2010,20.7
DE_TOT,Germany including former GDR,2011,20.7
DE_TOT,Germany including former GDR,2012,20.7
DE_TOT,Germany including former GDR,2013,20.8
DE_TOT,Germany including former GDR,2014,20.9
DE_TOT,Germany including former GDR,2015,21.0
DE_TOT,Germany including former GDR,2016,21.1
DE_TOT,Germany including former GDR,2017,21.2
DE_TOT,Germany including former GDR,2018,21.4
DE_TOT,Germany including former GDR,2019,21.5
DE_TOT,Germany including former GDR,2020,21.8
DE_TOT,Germany including former GDR,2021,22.0
DE_TOT,Germany including former GDR,2022,22.1
DE_TOT,Germany including former GDR,2023,22.2
DE_TOT,Germany including former GDR,2024,22.4
DE_TOT,Germany including former GDR,2025,22.7
DK,Denmark,1960,10.5
DK,Denmark,1961,10.7
DK,Denmark,1962,10.9
DK,Denmark,1963,11.0
DK,Denmark,1964,11.2
DK,Denmark,1965,11.3
DK,Denmark,1966,11.5
DK,Denmark,1967,11.6
DK,Denmark,1968,11.8
DK,Denmark,1969,12.0
DK,Denmark,1970,12.2
DK,Denmark,1971,12.4
DK,Denmark,1972,12.6
DK,Denmark,1973,12.8
DK,Denmark,1974,13.0
DK,Denmark,1975,13.3
DK,Denmark,1976,13.5
DK,Denmark,1977,13.7
DK,Denmark,1978,14.0
DK,Denmark,1979,14.2
DK,Denmark,1980,14.3
DK,Denmark,1981,14.5
DK,Denmark,1982,14.6
DK,Denmark,1983,14.8
DK,Denmark,1984,14.9
DK,Denmark,1985,15.0
DK,Denmark,1986,15.2
DK,Denmark,1987,15.3
DK,Denmark,1988,15.4
DK,Denmark,1989,15.5
DK,Denmark,1990,15.6
DK,Denmark,1991,15.6
DK,Denmark,1992,15.6
DK,Denmark,1993,15.5
DK,Denmark,1994,15.4
DK,Denmark,1995,15.3
DK,Denmark,1996,15.1
DK,Denmark,1997,15.0
DK,Denmark,1998,14.9
DK,Denmark,1999,14.9
DK,Denmark,2000,14.8
DK,Denmark,2001,14.8
DK,Denmark,2002,14.8
DK,Denmark,2003,14.8
DK,Denmark,2004,14.9
DK,Denmark,2005,15.0
DK,Denmark,2006,15.2
DK,Denmark,2007,15.3
DK,Denmark,2008,15.6
DK,Denmark,2009,15.9
DK,Denmark,2010,16.3
DK,Denmark,2011,16.8
DK,Denmark,2012,17.3
DK,Denmark,2013,17.8
DK,Denmark,2014,18.2
DK,Denmark,2015,18.6
DK,Denmark,2016,18.8
DK,Denmark,2017,19.1
DK,Denmark,2018,19.3
DK,Denmark,2019,19.6
DK,Denmark,2020,19.9
DK,Denmark,2021,20.1
DK,Denmark,2022,20.3
DK,Denmark,2023,20.5
DK,Denmark,2024,20.7
DK,Denmark,2025,20.9
EA20,Euro area – 20 countries (2023-2025),2014,19.3
EA20,Euro area – 20 countries (2023-2025),2015,19.6
EA20,Euro area – 20 countries (2023-2025),2016,19.9
EA20,Euro area – 20 countries (2023-2025),2017,20.2
EA20,Euro area – 20 countries (2023-2025),2018,20.4
EA20,Euro area – 20 countries (2023-2025),2019,20.7
EA20,Euro area – 20 countries (2023-2025),2020,20.9
EA20,Euro area – 20 countries (2023-2025),2021,21.2
EA20,Euro area – 20 countries (2023-2025),2022,21.4
EA20,Euro area – 20 countries (2023-2025),2023,21.6
EA20,Euro area – 20 countries (2023-2025),2024,21.9
EA20,Euro area – 20 countries (2023-2025),2025,22.2
EA21,Euro area – 21 countries (from 2026),2025,22.3
EE,Estonia,1970,11.7
EE,Estonia,1971,11.8
EE,Estonia,1972,11.9
EE,Estonia,1973,12.0
EE,Estonia,1974,12.1
EE,Estonia,1975,12.2
EE,Estonia,1976,12.4
EE,Estonia,1977,12.4
EE,Estonia,1978,12.5
EE,Estonia,1979,12.5
EE,Estonia,1980,12.5
EE,Estonia,1981,12.4
EE,Estonia,1982,12.1
EE,Estonia,1983,11.8
EE,Estonia,1984,11.7
EE,Estonia,1985,11.5
EE,Estonia,1986,11.3
EE,Estonia,1987,11.3
EE,Estonia,1988,11.3
EE,Estonia,1989,11.4
EE,Estonia,1990,11.6
EE,Estonia,1991,11.7
EE,Estonia,1992,12.0
EE,Estonia,1993,12.5
EE,Estonia,1994,12.9
EE,Estonia,1995,13.3
EE,Estonia,1996,13.7
EE,Estonia,1997,14.1
EE,Estonia,1998,14.5
EE,Estonia,1999,14.7
EE,Estonia,2000,14.9
EE,Estonia,2001,15.1
EE,Estonia,2002,15.4
EE,Estonia,2003,15.8
EE,Estonia,2004,16.2
EE,Estonia,2005,16.6
EE,Estonia,2006,16.9
EE,Estonia,2007,17.3
EE,Estonia,2008,17.5
EE,Estonia,2009,17.4
EE,Estonia,2010,17.4
EE,Estonia,2011,17.4
EE,Estonia,2012,17.7
EE,Estonia,2013,18.0
EE,Estonia,2014,18.4
EE,Estonia,2015,18.8
EE,Estonia,2016,19.0
EE,Estonia,2017,19.3
EE,Estonia,2018,19.6
EE,Estonia,2019,19.8
EE,Estonia,2020,20.0
EE,Estonia,2021,20.3
EE,Estonia,2022,20.4
EE,Estonia,2023,20.2
EE,Estonia,2024,20.5
EE,Estonia,2025,20.9
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1985,12.8
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1990,13.7
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1991,13.9
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1992,14.1
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1993,14.3
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1994,14.5
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1995,14.7
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1996,14.9
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1997,15.1
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1998,15.3
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",1999,15.4
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2000,15.6
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2001,15.8
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2002,16.0
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2003,16.2
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2004,16.3
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2005,16.5
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2006,16.8
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2007,16.9
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2008,17.1
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2009,17.2
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2010,17.4
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2011,17.6
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2012,17.8
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2013,18.2
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2016,19.1
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2017,19.4
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2018,19.7
EEA30_2007,"European Economic Area (EU27 - 2007-2013 and IS, LI, NO)",2019,20.0
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2001,15.8
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2002,16.0
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2003,16.2
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2004,16.3
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2005,16.5
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2006,16.8
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2007,16.9
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2008,17.1
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2009,17.2
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2010,17.4
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2011,17.6
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2012,17.8
EEA31,"European Economic Area (EU28 - 2013-2020 and IS, LI, NO)",2014,18.5
